// sample: {time(ms),pitch(deg),pitch_spd(rad/s),yaw(deg),yaw_spd(rad/s)},
{
{208, 0.0f, 0.0f, 4.938998f, -0.466607f},
{210, 0.0f, 0.0f, 4.876362f, -0.626607f},
{212, 0.0f, 0.0f, 4.795390f, -0.786607f},
{214, 0.0f, 0.0f, 4.696084f, -0.946607f},
{216, 0.0f, 0.0f, 4.578444f, -1.106607f},
{218, 0.0f, 0.0f, 4.442469f, -1.266607f},
{220, 0.0f, 0.0f, 4.288159f, -1.426607f},
{222, 0.0f, 0.0f, 4.115514f, -1.586607f},
{224, 0.0f, 0.0f, 3.924535f, -1.746607f},
{226, 0.0f, 0.0f, 3.715221f, -1.906607f},
{228, 0.0f, 0.0f, 3.487573f, -2.066607f},
{230, 0.0f, 0.0f, 3.241589f, -2.226607f},
{232, 0.0f, 0.0f, 2.977272f, -2.386607f},
{234, 0.0f, 0.0f, 2.694619f, -2.546607f},
{236, 0.0f, 0.0f, 2.393632f, -2.706607f},
{238, 0.0f, 0.0f, 2.074310f, -2.866607f},
{240, 0.0f, 0.0f, 1.736654f, -3.026607f},
{242, 0.0f, 0.0f, 1.380663f, -3.186607f},
{244, 0.0f, 0.0f, 1.006337f, -3.346607f},
{246, 0.0f, 0.0f, 0.613677f, -3.506607f},
{248, 0.0f, 0.0f, 0.202682f, -3.666607f},
{250, 0.0f, 0.0f, -0.226648f, -3.826607f},
{252, 0.0f, 0.0f, -0.656336f, -3.669941f},
{254, 0.0f, 0.0f, -1.067712f, -3.509941f},
{256, 0.0f, 0.0f, -1.460755f, -3.349941f},
{258, 0.0f, 0.0f, -1.835462f, -3.189941f},
{260, 0.0f, 0.0f, -2.191835f, -3.029941f},
{262, 0.0f, 0.0f, -2.529873f, -2.869941f},
{264, 0.0f, 0.0f, -2.849577f, -2.709941f},
{266, 0.0f, 0.0f, -3.150946f, -2.549941f},
{268, 0.0f, 0.0f, -3.433980f, -2.389941f},
{270, 0.0f, 0.0f, -3.698680f, -2.229941f},
{272, 0.0f, 0.0f, -3.945045f, -2.069941f},
{274, 0.0f, 0.0f, -4.173075f, -1.909941f},
{276, 0.0f, 0.0f, -4.382771f, -1.749941f},
{278, 0.0f, 0.0f, -4.574132f, -1.589941f},
{280, 0.0f, 0.0f, -4.747158f, -1.429941f},
{282, 0.0f, 0.0f, -4.901850f, -1.269941f},
{284, 0.0f, 0.0f, -5.038207f, -1.109941f},
{286, 0.0f, 0.0f, -5.156230f, -0.949941f},
{288, 0.0f, 0.0f, -5.255917f, -0.789941f},
{290, 0.0f, 0.0f, -5.337271f, -0.629941f},
{292, 0.0f, 0.0f, -5.400289f, -0.469941f},
{294, 0.0f, 0.0f, -5.444973f, -0.309941f},
{296, 0.0f, 0.0f, -5.471322f, -0.149941f},
{298, 0.0f, 0.0f, -5.479337f, 0.010059f},
{300, 0.0f, 0.0f, -5.469017f, 0.170059f},
{302, 0.0f, 0.0f, -5.440362f, 0.330059f},
{304, 0.0f, 0.0f, -5.393373f, 0.490059f},
{306, 0.0f, 0.0f, -5.328048f, 0.650059f},
{308, 0.0f, 0.0f, -5.244390f, 0.810059f},
{310, 0.0f, 0.0f, -5.142396f, 0.970059f},
{312, 0.0f, 0.0f, -5.022068f, 1.130059f},
